Date,Open,High,Low,Close,Adj Close,Volume,Ticker
22/04/2022,120.010002,121.889999,118.150002,118.269997,118.269997,19472800,DIS
25/04/2022,117.660004,120.330002,116.75,119.949997,119.949997,16491000,DIS
26/04/2022,119.150002,119.150002,115.639999,115.769997,115.769997,16116000,DIS
27/04/2022,115.43,116.900002,113.389999,115.209999,115.209999,15553000,DIS
28/04/2022,115.220001,116,112.690002,115.290001,115.290001,23192100,DIS
29/04/2022,115.199997,115.989998,111.360001,111.629997,111.629997,16907000,DIS
02/05/2022,111.709999,113.660004,111.010002,113.5,113.5,14300700,DIS
03/05/2022,114.050003,114.830002,112.690002,113.550003,113.550003,11149500,DIS
04/05/2022,113.370003,116.440002,111.830002,116.190002,116.190002,11488300,DIS
05/05/2022,114.739998,115.269997,111.480003,112.610001,112.610001,12720200,DIS
06/05/2022,111.769997,112.089996,108.300003,110.290001,110.290001,12525200,DIS
09/05/2022,108.110001,110.739998,106.480003,106.980003,106.980003,17941600,DIS
10/05/2022,109.839996,110.699997,106.139999,107.68,107.68,15657700,DIS
11/05/2022,107.900002,110.07,104.790001,105.209999,105.209999,26933300,DIS
12/05/2022,102.900002,105,99.470001,104.309998,104.309998,36298800,DIS
13/05/2022,105.360001,107.690002,105.309998,107.330002,107.330002,16782600,DIS
16/05/2022,107.459999,107.620003,104.849998,105.18,105.18,11993600,DIS
17/05/2022,107.730003,108.790001,106.300003,108.639999,108.639999,11847600,DIS
18/05/2022,107.379997,107.660004,103.879997,104.300003,104.300003,11794000,DIS
19/05/2022,103.43,105.300003,102.959999,103.139999,103.139999,11285000,DIS
20/05/2022,104.489998,104.800003,100.050003,102.419998,102.419998,15650400,DIS
23/05/2022,103.760002,106.029999,101.559998,105.830002,105.830002,14402400,DIS
24/05/2022,103.709999,103.839996,100.129997,101.589996,101.589996,13970200,DIS
25/05/2022,101.43,103.809998,101.160004,103.260002,103.260002,11026600,DIS
26/05/2022,104.220001,106.129997,103.959999,105.610001,105.610001,11297800,DIS
27/05/2022,106.889999,109.370003,106.529999,109.32,109.32,13671300,DIS
31/05/2022,110,111.239998,107.910004,110.440002,110.440002,20274600,DIS
01/06/2022,112.010002,112.849998,108.269997,109.190002,109.190002,11829700,DIS
02/06/2022,109.43,110.949997,107.910004,110.870003,110.870003,8829900,DIS
03/06/2022,109.169998,109.849998,107.919998,108.669998,108.669998,6767600,DIS
06/06/2022,109.75,110.190002,107.650002,107.830002,107.830002,7575900,DIS
07/06/2022,106.790001,107.919998,106,107.790001,107.790001,7279100,DIS
08/06/2022,107.43,109.360001,106.959999,107.339996,107.339996,7019500,DIS
09/06/2022,106.529999,107.059998,103.25,103.300003,103.300003,8261200,DIS
10/06/2022,101.43,102.120003,99.379997,99.400002,99.400002,15369700,DIS
13/06/2022,97.610001,97.610001,94.830002,95.709999,95.709999,15239700,DIS
14/06/2022,96.269997,96.269997,93.099998,94.220001,94.220001,12443700,DIS
15/06/2022,94.610001,97.300003,94.089996,95.879997,95.879997,11751600,DIS
16/06/2022,94.010002,95.379997,93.410004,94.279999,94.279999,15298500,DIS
17/06/2022,94.010002,95.970001,93.470001,94.339996,94.339996,15403800,DIS
21/06/2022,94.900002,95.449997,93.269997,93.290001,93.290001,16649800,DIS
22/06/2022,92.169998,94.610001,92.010002,93.5,93.5,11403500,DIS
23/06/2022,93.959999,94.650002,92.07,94.300003,94.300003,11348800,DIS
24/06/2022,95.449997,98.57,95.400002,97.779999,97.779999,11681200,DIS
27/06/2022,98.220001,98.230003,95.800003,96.610001,96.610001,10793700,DIS
28/06/2022,99.739998,100.400002,95.779999,95.919998,95.919998,16812400,DIS
29/06/2022,95.949997,96.199997,94.529999,95.650002,95.650002,8653200,DIS
30/06/2022,94.419998,95.440002,92.540001,94.400002,94.400002,10983500,DIS
01/07/2022,94.239998,96.309998,93.980003,96.139999,96.139999,10543400,DIS
05/07/2022,94.260002,97.230003,92.309998,97.18,97.18,10660600,DIS
