Date,Open,High,Low,Close,Adj Close,Volume,Ticker
02/01/2020,323.540009,324.890015,322.529999,324.869995,309.694855,59151200,SPY
03/01/2020,321.160004,323.640015,321.100006,322.410004,307.349854,77709700,SPY
06/01/2020,320.48999,323.730011,320.359985,323.640015,308.522369,55653900,SPY
07/01/2020,323.019989,323.540009,322.23999,322.730011,307.654907,40496400,SPY
08/01/2020,322.940002,325.779999,322.670013,324.450012,309.294586,68296000,SPY
09/01/2020,326.160004,326.730011,325.519989,326.649994,311.391754,48473300,SPY
10/01/2020,327.290009,327.459991,325.200012,325.709991,310.495667,53029300,SPY
13/01/2020,326.390015,327.959991,325.920013,327.950012,312.631012,47086800,SPY
14/01/2020,327.470001,328.619995,326.839996,327.450012,312.154419,62832800,SPY
15/01/2020,327.350006,329.019989,327.26001,328.190002,312.859833,72056600,SPY
16/01/2020,329.700012,330.920013,329.450012,330.920013,315.46228,54050300,SPY
17/01/2020,331.700012,332.179993,330.850006,331.950012,316.444183,95846000,SPY
21/01/2020,330.899994,332.179993,330.820007,331.299988,315.824524,77742400,SPY
22/01/2020,332.23999,332.950012,331.170013,331.339996,315.862671,48914900,SPY
23/01/2020,330.630005,332.170013,329.410004,331.720001,316.224976,51963000,SPY
24/01/2020,332.440002,332.529999,327.359985,328.769989,313.41275,87578400,SPY
27/01/2020,323.029999,325.119995,322.660004,323.5,308.388885,84062500,SPY
28/01/2020,325.059998,327.850006,323.600006,326.890015,311.620636,63834000,SPY
29/01/2020,328.380005,328.630005,326.399994,326.619995,311.363159,53888900,SPY
30/01/2020,324.359985,327.910004,323.540009,327.679993,312.373627,75491800,SPY
31/01/2020,327,327.170013,320.730011,321.730011,306.701569,113845600,SPY
03/02/2020,323.350006,326.160004,323.220001,324.119995,308.979919,69083000,SPY
04/02/2020,328.070007,330.01001,327.720001,329.059998,313.689209,62573200,SPY
05/02/2020,332.269989,333.089996,330.670013,332.859985,317.311646,65951100,SPY
06/02/2020,333.910004,334.190002,332.799988,333.980011,318.379364,50359700,SPY
07/02/2020,332.820007,333.98999,331.600006,332.200012,316.682556,64139400,SPY
10/02/2020,331.230011,334.75,331.190002,334.679993,319.046661,42070000,SPY
11/02/2020,336.160004,337.019989,334.679993,335.26001,319.599548,54864500,SPY
12/02/2020,336.829987,337.649994,336.429993,337.420013,321.658661,43992700,SPY
13/02/2020,335.859985,338.119995,335.559998,337.059998,321.315521,54501900,SPY
14/02/2020,337.51001,337.730011,336.200012,337.600006,321.830231,64582200,SPY
18/02/2020,336.51001,337.670013,335.209991,336.730011,321.000946,57226200,SPY
19/02/2020,337.790009,339.079987,337.480011,338.339996,322.535645,48814700,SPY
20/02/2020,337.73999,338.640015,333.679993,336.950012,321.210693,74163400,SPY
21/02/2020,335.470001,335.809998,332.579987,333.480011,317.90274,113788200,SPY
24/02/2020,323.140015,333.559998,321.23999,322.420013,307.359344,161088400,SPY
25/02/2020,323.940002,324.609985,311.690002,312.649994,298.045715,218913200,SPY
26/02/2020,314.179993,318.109985,310.700012,311.5,296.949463,194773800,SPY
27/02/2020,305.459991,311.559998,297.51001,297.51001,283.612946,284353500,SPY
28/02/2020,288.700012,297.890015,285.540009,296.26001,282.421326,384975800,SPY
02/03/2020,298.209991,309.160004,294.459991,309.089996,294.652039,238703600,SPY
03/03/2020,309.5,313.839996,297.570007,300.23999,286.215363,300139100,SPY
04/03/2020,306.119995,313.100006,303.329987,312.859985,298.245819,176613400,SPY
05/03/2020,304.980011,308.470001,300.01001,302.459991,288.331726,186366800,SPY
06/03/2020,293.149994,298.779999,290.230011,297.459991,283.565277,228667200,SPY
09/03/2020,275.299988,284.190002,273.450012,274.230011,261.420441,309417300,SPY
10/03/2020,284.640015,288.519989,273.5,288.420013,274.947571,276444100,SPY
